"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","flighttime","flighttime24","ChristmasEve"
"59",2013,1,1,2016,1930,46,NA,2220,NA,"EV",4204,"N14168","EWR","OKC",NA,1325,19,30,2013-01-01 19:00:00,NA,NA,"Un-Christmas Eve"
"60",2013,1,1,2016,1940,36,2215,2125,50,"MQ",3783,"N509MQ","JFK","CMH",99,483,19,40,2013-01-01 19:00:00,199,199,"Un-Christmas Eve"
"61",2013,1,1,2017,1935,42,2223,2136,47,"9E",3899,"N8444F","JFK","CLE",91,425,19,35,2013-01-01 19:00:00,206,206,"Un-Christmas Eve"
"62",2013,1,1,2017,2015,2,2318,2321,-3,"B6",47,"N593JB","JFK","FLL",149,1069,20,15,2013-01-01 20:00:00,301,301,"Un-Christmas Eve"
"63",2013,1,1,2018,2020,-2,2314,2324,-10,"UA",1299,"N13718","EWR","RSW",157,1068,20,20,2013-01-01 20:00:00,296,296,"Un-Christmas Eve"
"64",2013,1,1,2020,2030,-10,2148,2155,-7,"FL",354,"N895AT","LGA","CAK",73,397,20,30,2013-01-01 20:00:00,128,128,"Un-Christmas Eve"
"65",2013,1,1,2021,2025,-4,2351,2341,10,"B6",1069,"N203JB","JFK","AUS",255,1521,20,25,2013-01-01 20:00:00,330,330,"Un-Christmas Eve"
"66",2013,1,1,2023,1945,38,2240,2206,34,"9E",3352,"N602LR","JFK","CVG",118,589,19,45,2013-01-01 19:00:00,217,217,"Un-Christmas Eve"
"67",2013,1,1,2024,1835,109,2328,2157,91,"B6",359,"N607JB","JFK","BUR",328,2465,18,35,2013-01-01 18:00:00,304,304,"Un-Christmas Eve"
"68",2013,1,1,2025,2030,-5,2334,2348,-14,"DL",1318,"N3740C","JFK","FLL",157,1069,20,30,2013-01-01 20:00:00,309,309,"Un-Christmas Eve"
"69",2013,1,1,2025,2028,-3,2358,2351,7,"UA",1615,"N76516","EWR","AUS",248,1504,20,28,2013-01-01 20:00:00,333,333,"Un-Christmas Eve"
"70",2013,1,1,2026,2004,22,2157,2133,24,"EV",4224,"N11189","EWR","MKE",130,725,20,4,2013-01-01 20:00:00,131,131,"Un-Christmas Eve"
"71",2013,1,1,2026,1930,56,2319,2229,50,"B6",39,"N558JB","JFK","PBI",150,1028,19,30,2013-01-01 19:00:00,293,293,"Un-Christmas Eve"
"72",2013,1,1,2026,1955,31,2205,2120,45,"WN",195,"N957WN","EWR","MDW",134,711,19,55,2013-01-01 19:00:00,179,179,"Un-Christmas Eve"
"73",2013,1,1,2030,2030,0,2132,2139,-7,"EV",4660,"N14203","EWR","MHT",33,209,20,30,2013-01-01 20:00:00,102,102,"Un-Christmas Eve"
"74",2013,1,1,2030,2045,-15,2150,2225,-35,"AA",371,"N545AA","LGA","ORD",126,733,20,45,2013-01-01 20:00:00,120,120,"Un-Christmas Eve"
"75",2013,1,1,2030,2035,-5,2354,2342,12,"B6",629,"N192JB","JFK","HOU",245,1428,20,35,2013-01-01 20:00:00,324,324,"Un-Christmas Eve"
"76",2013,1,1,2030,2030,0,2308,2258,10,"B6",115,"N267JB","JFK","MSY",195,1182,20,30,2013-01-01 20:00:00,278,278,"Un-Christmas Eve"
"77",2013,1,1,2031,2030,1,2344,2335,9,"UA",834,"N822UA","EWR","IAH",223,1400,20,30,2013-01-01 20:00:00,313,313,"Un-Christmas Eve"
"78",2013,1,1,2033,2034,-1,2134,2151,-17,"UA",994,"N486UA","EWR","BOS",35,200,20,34,2013-01-01 20:00:00,101,101,"Un-Christmas Eve"
"79",2013,1,1,2035,2030,5,2337,5,-28,"UA",1482,"N38268","EWR","LAX",333,2454,20,30,2013-01-01 20:00:00,302,302,"Un-Christmas Eve"
"80",2013,1,1,2037,2010,27,2224,2150,34,"EV",4356,"N15572","EWR","RDU",78,416,20,10,2013-01-01 20:00:00,187,187,"Un-Christmas Eve"
"81",2013,1,1,2040,2040,0,2317,2314,3,"B6",619,"N184JB","JFK","JAX",131,828,20,40,2013-01-01 20:00:00,277,277,"Un-Christmas Eve"
"82",2013,1,1,2046,2035,11,2144,2213,-29,"9E",3357,"N916XJ","JFK","DCA",43,213,20,35,2013-01-01 20:00:00,98,98,"Un-Christmas Eve"
"83",2013,1,1,2046,2050,-4,2328,2356,-28,"UA",926,"N414UA","EWR","MCO",136,937,20,50,2013-01-01 20:00:00,282,282,"Un-Christmas Eve"
"84",2013,1,1,2050,1959,51,2229,2144,45,"MQ",4423,"N853MQ","JFK","RDU",83,427,19,59,2013-01-01 19:00:00,179,179,"Un-Christmas Eve"
"85",2013,1,1,2052,2029,23,2349,2350,-1,"B6",165,"N536JB","JFK","PDX",331,2454,20,29,2013-01-01 20:00:00,297,297,"Un-Christmas Eve"
"86",2013,1,1,2052,2045,7,2357,2359,-2,"B6",147,"N535JB","JFK","RSW",163,1074,20,45,2013-01-01 20:00:00,305,305,"Un-Christmas Eve"
"87",2013,1,1,2053,2055,-2,2254,2250,4,"MQ",4573,"N730MQ","LGA","DTW",102,502,20,55,2013-01-01 20:00:00,201,201,"Un-Christmas Eve"
"88",2013,1,1,2055,2100,-5,2350,2355,-5,"UA",380,"N441UA","EWR","PBI",142,1023,21,0,2013-01-01 21:00:00,295,295,"Un-Christmas Eve"
"89",2013,1,1,2056,2004,52,2156,2112,44,"EV",4170,"N12540","EWR","ALB",31,143,20,4,2013-01-01 20:00:00,100,100,"Un-Christmas Eve"
"90",2013,1,1,2056,1944,72,2210,2109,61,"EV",4692,"N11536","EWR","IAD",51,212,19,44,2013-01-01 19:00:00,154,154,"Un-Christmas Eve"
"91",2013,1,1,2056,2100,-4,2337,2343,-6,"B6",399,"N510JB","LGA","MCO",140,950,21,0,2013-01-01 21:00:00,281,281,"Un-Christmas Eve"
"92",2013,1,1,2056,2100,-4,2240,2235,5,"MQ",4507,"N856MQ","LGA","RDU",77,431,21,0,2013-01-01 21:00:00,184,184,"Un-Christmas Eve"
"93",2013,1,1,2057,2100,-3,2237,2220,17,"MQ",3744,"N521MQ","EWR","ORD",133,719,21,0,2013-01-01 21:00:00,180,180,"Un-Christmas Eve"
"94",2013,1,1,2058,2100,-2,2342,2317,25,"EV",4088,"N14953","EWR","SDF",136,642,21,0,2013-01-01 21:00:00,284,284,"Un-Christmas Eve"
"95",2013,1,1,2058,2100,-2,2235,2230,5,"WN",946,"N509SW","LGA","MDW",134,725,21,0,2013-01-01 21:00:00,177,177,"Un-Christmas Eve"
"96",2013,1,1,2058,2100,-2,8,2359,9,"UA",1241,"N27724","EWR","TPA",159,997,21,0,2013-01-01 21:00:00,-2050,350,"Un-Christmas Eve"
"97",2013,1,1,2100,2100,0,2307,2250,17,"MQ",4584,"N0EGMQ","LGA","CLT",101,544,21,0,2013-01-01 21:00:00,207,207,"Un-Christmas Eve"
"98",2013,1,1,2101,2050,11,2156,2202,-6,"B6",1020,"N587JB","JFK","BOS",34,187,20,50,2013-01-01 20:00:00,55,55,"Un-Christmas Eve"
"99",2013,1,1,2102,2108,-6,146,158,-12,"UA",1180,"N78511","EWR","SJU",199,1608,21,8,2013-01-01 21:00:00,-1956,444,"Un-Christmas Eve"
"100",2013,1,1,2103,2110,-7,2345,17,-32,"DL",1668,"N3738B","JFK","LAS",309,2248,21,10,2013-01-01 21:00:00,242,242,"Un-Christmas Eve"
"101",2013,1,1,2107,2040,27,2354,2359,-5,"B6",677,"N779JB","JFK","LAX",323,2475,20,40,2013-01-01 20:00:00,247,247,"Un-Christmas Eve"
"102",2013,1,1,2108,2057,11,25,39,-14,"UA",1517,"N17245","EWR","SFO",354,2565,20,57,2013-01-01 20:00:00,-2083,317,"Un-Christmas Eve"
"103",2013,1,1,2109,2115,-6,2351,2357,-6,"B6",529,"N796JB","EWR","MCO",138,937,21,15,2013-01-01 21:00:00,242,242,"Un-Christmas Eve"
"104",2013,1,1,2110,2020,50,2340,2245,55,"MQ",4662,"N532MQ","LGA","ATL",127,762,20,20,2013-01-01 20:00:00,230,230,"Un-Christmas Eve"
"105",2013,1,1,2115,2110,5,2240,2223,17,"EV",4119,"N15986","EWR","RIC",65,277,21,10,2013-01-01 21:00:00,125,125,"Un-Christmas Eve"
"106",2013,1,1,2115,1700,255,2330,1920,250,"9E",3347,"N924XJ","JFK","CVG",115,589,17,0,2013-01-01 17:00:00,215,215,"Un-Christmas Eve"
"107",2013,1,1,2116,2110,6,2202,2212,-10,"EV",4404,"N15912","EWR","PVD",28,160,21,10,2013-01-01 21:00:00,86,86,"Un-Christmas Eve"
"108",2013,1,1,2119,1930,109,2358,2136,142,"EV",4543,"N13123","EWR","DSM",200,1017,19,30,2013-01-01 19:00:00,239,239,"Un-Christmas Eve"
"109",2013,1,1,2120,2130,-10,16,18,-2,"B6",383,"N603JB","LGA","FLL",160,1076,21,30,2013-01-01 21:00:00,-2104,296,"Un-Christmas Eve"
"110",2013,1,1,2121,2040,41,6,2323,43,"B6",227,"N307JB","EWR","MCO",143,937,20,40,2013-01-01 20:00:00,-2115,285,"Un-Christmas Eve"
"111",2013,1,1,2122,2125,-3,2312,2250,22,"MQ",4660,"N1EAMQ","LGA","BNA",153,764,21,25,2013-01-01 21:00:00,190,190,"Un-Christmas Eve"
"112",2013,1,1,2128,2135,-7,26,50,-24,"AA",185,"N338AA","JFK","LAX",338,2475,21,35,2013-01-01 21:00:00,-2102,298,"Un-Christmas Eve"
"113",2013,1,1,2128,2125,3,2243,2240,3,"MQ",4449,"N810MQ","JFK","DCA",54,213,21,25,2013-01-01 21:00:00,115,115,"Un-Christmas Eve"
"114",2013,1,1,2129,2120,9,2342,2351,-9,"B6",97,"N625JB","JFK","DEN",223,1626,21,20,2013-01-01 21:00:00,213,213,"Un-Christmas Eve"
"115",2013,1,1,2134,2045,49,20,2352,28,"UA",1106,"N27733","EWR","FLL",152,1065,20,45,2013-01-01 20:00:00,-2114,286,"Un-Christmas Eve"
"116",2013,1,1,2136,2145,-9,25,39,-14,"B6",515,"N198JB","EWR","FLL",154,1065,21,45,2013-01-01 21:00:00,-2111,289,"Un-Christmas Eve"
"117",2013,1,1,2140,2135,5,210,224,-14,"B6",701,"N284JB","JFK","SJU",189,1598,21,35,2013-01-01 21:00:00,-1930,470,"Un-Christmas Eve"
"118",2013,1,1,2157,2155,2,43,41,2,"B6",43,"N537JB","JFK","MCO",140,944,21,55,2013-01-01 21:00:00,-2114,286,"Un-Christmas Eve"
"119",2013,1,1,2158,2200,-2,2254,2307,-13,"EV",4103,"N14998","EWR","BWI",36,169,22,0,2013-01-01 22:00:00,96,96,"Un-Christmas Eve"
"120",2013,1,1,2205,1720,285,46,2040,246,"AA",1999,"N5DNAA","EWR","MIA",146,1085,17,20,2013-01-01 17:00:00,-2159,241,"Un-Christmas Eve"
"121",2013,1,1,2209,2145,24,58,37,21,"B6",35,"N608JB","JFK","PBI",143,1028,21,45,2013-01-01 21:00:00,-2151,249,"Un-Christmas Eve"
"122",2013,1,1,2209,2155,14,2400,2337,23,"B6",1109,"N216JB","JFK","RDU",86,427,21,55,2013-01-01 21:00:00,191,191,"Un-Christmas Eve"
"123",2013,1,1,2211,2145,26,2339,2311,28,"B6",104,"N228JB","JFK","BUF",64,301,21,45,2013-01-01 21:00:00,128,128,"Un-Christmas Eve"
"124",2013,1,1,2217,2229,-12,249,315,-26,"B6",713,"N547JB","JFK","SJU",191,1598,22,29,2013-01-01 22:00:00,-1968,432,"Un-Christmas Eve"
"125",2013,1,1,2217,2130,47,140,27,73,"B6",21,"N516JB","JFK","TPA",163,1005,21,30,2013-01-01 21:00:00,-2077,323,"Un-Christmas Eve"
"126",2013,1,1,2221,2000,141,2331,2124,127,"EV",4462,"N13566","EWR","BUF",56,282,20,0,2013-01-01 20:00:00,110,110,"Un-Christmas Eve"
"127",2013,1,1,2224,2200,24,2324,2316,8,"EV",4206,"N16561","EWR","PWM",47,284,22,0,2013-01-01 22:00:00,100,100,"Un-Christmas Eve"
"128",2013,1,1,2229,2159,30,149,100,49,"B6",11,"N531JB","JFK","FLL",153,1069,21,59,2013-01-01 21:00:00,-2080,320,"Un-Christmas Eve"
"129",2013,1,1,2240,2245,-5,2340,2356,-16,"B6",608,"N279JB","JFK","PWM",44,273,22,45,2013-01-01 22:00:00,100,100,"Un-Christmas Eve"
"130",2013,1,1,2250,2255,-5,2352,2359,-7,"B6",1018,"N521JB","JFK","BOS",37,187,22,55,2013-01-01 22:00:00,102,102,"Un-Christmas Eve"
"131",2013,1,1,2302,2200,62,2342,2253,49,"EV",4276,"N13903","EWR","BDL",24,116,22,0,2013-01-01 22:00:00,40,40,"Un-Christmas Eve"
"132",2013,1,1,2306,2245,21,28,5,23,"B6",30,"N281JB","JFK","ROC",59,264,22,45,2013-01-01 22:00:00,-2278,122,"Un-Christmas Eve"
"133",2013,1,1,2307,2245,22,32,2357,35,"B6",128,"N178JB","JFK","BTV",59,266,22,45,2013-01-01 22:00:00,-2275,125,"Un-Christmas Eve"
"134",2013,1,1,2310,2255,15,24,15,9,"B6",112,"N646JB","JFK","BUF",57,301,22,55,2013-01-01 22:00:00,-2286,114,"Un-Christmas Eve"
"135",2013,1,1,2312,2000,192,21,2110,191,"EV",4312,"N13958","EWR","DCA",44,199,20,0,2013-01-01 20:00:00,-2291,109,"Un-Christmas Eve"
"136",2013,1,1,2323,2200,83,22,2313,69,"EV",4257,"N13538","EWR","BTV",44,266,22,0,2013-01-01 22:00:00,-2301,99,"Un-Christmas Eve"
"137",2013,1,1,2326,2130,116,131,18,73,"B6",199,"N594JB","JFK","LAS",290,2248,21,30,2013-01-01 21:00:00,-2195,205,"Un-Christmas Eve"
"138",2013,1,1,2327,2250,37,32,2359,33,"B6",22,"N639JB","JFK","SYR",45,209,22,50,2013-01-01 22:00:00,-2295,105,"Un-Christmas Eve"
"139",2013,1,1,2343,1724,379,314,1938,456,"EV",4321,"N21197","EWR","MCI",222,1092,17,24,2013-01-01 17:00:00,-2029,371,"Un-Christmas Eve"
"140",2013,1,1,2353,2359,-6,425,445,-20,"B6",739,"N591JB","JFK","PSE",195,1617,23,59,2013-01-01 23:00:00,-1928,472,"Un-Christmas Eve"
"141",2013,1,1,2353,2359,-6,418,442,-24,"B6",707,"N794JB","JFK","SJU",185,1598,23,59,2013-01-01 23:00:00,-1935,465,"Un-Christmas Eve"
"142",2013,1,1,2356,2359,-3,425,437,-12,"B6",727,"N588JB","JFK","BQN",186,1576,23,59,2013-01-01 23:00:00,-1931,469,"Un-Christmas Eve"
"143",2013,1,2,1902,1905,-3,2203,2227,-24,"DL",2159,"N3752","JFK","MCO",151,944,19,5,2013-01-02 19:00:00,301,301,"Un-Christmas Eve"
"144",2013,1,2,1902,1858,4,2201,2154,7,"UA",1269,"N76288","EWR","PBI",151,1023,18,58,2013-01-02 18:00:00,299,299,"Un-Christmas Eve"
"145",2013,1,2,1903,1910,-7,2228,2215,13,"AA",2075,"N4YCAA","EWR","DFW",230,1372,19,10,2013-01-02 19:00:00,325,325,"Un-Christmas Eve"
"146",2013,1,2,1904,1910,-6,2213,2224,-11,"DL",1629,"N320NB","JFK","LAS",336,2248,19,10,2013-01-02 19:00:00,309,309,"Un-Christmas Eve"
"147",2013,1,2,1905,1909,-4,2053,2046,7,"EV",3807,"N13903","EWR","BNA",143,748,19,9,2013-01-02 19:00:00,148,148,"Un-Christmas Eve"
"148",2013,1,2,1905,1905,0,2216,2225,-9,"AA",21,"N339AA","JFK","LAX",333,2475,19,5,2013-01-02 19:00:00,311,311,"Un-Christmas Eve"
"149",2013,1,2,1907,1820,47,2037,2005,32,"AA",353,"N3ALAA","LGA","ORD",123,733,18,20,2013-01-02 18:00:00,130,130,"Un-Christmas Eve"
"150",2013,1,2,1907,1815,52,2137,2052,45,"DL",884,"N327NW","LGA","DEN",238,1620,18,15,2013-01-02 18:00:00,230,230,"Un-Christmas Eve"
"151",2013,1,2,1908,1910,-2,2227,2252,-25,"UA",1059,"N73299","EWR","SFO",344,2565,19,10,2013-01-02 19:00:00,319,319,"Un-Christmas Eve"
"152",2013,1,2,1909,1621,168,2116,1816,180,"EV",4092,"N13553","EWR","DAY",102,533,16,21,2013-01-02 16:00:00,207,207,"Un-Christmas Eve"
"153",2013,1,2,1910,1915,-5,2218,2244,-26,"DL",2391,"N983DL","JFK","TPA",157,1005,19,15,2013-01-02 19:00:00,308,308,"Un-Christmas Eve"
"154",2013,1,2,1911,1859,12,2220,2234,-14,"B6",171,"N506JB","JFK","SMF",328,2521,18,59,2013-01-02 18:00:00,309,309,"Un-Christmas Eve"
"155",2013,1,2,1914,1912,2,2219,2237,-18,"B6",87,"N775JB","JFK","SLC",272,1990,19,12,2013-01-02 19:00:00,305,305,"Un-Christmas Eve"
"156",2013,1,2,1915,1848,27,2225,2200,25,"UA",1128,"N73283","LGA","IAH",230,1416,18,48,2013-01-02 18:00:00,310,310,"Un-Christmas Eve"
"157",2013,1,2,1917,1910,7,2139,2107,32,"9E",3359,"N602LR","JFK","ORD",143,740,19,10,2013-01-02 19:00:00,222,222,"Un-Christmas Eve"
"158",2013,1,2,1917,1908,9,2255,2257,-2,"UA",927,"N481UA","EWR","PHX",311,2133,19,8,2013-01-02 19:00:00,338,338,"Un-Christmas Eve"
"159",2013,1,2,1918,1925,-7,2200,2205,-5,"DL",1715,"N335NB","LGA","MSY",197,1183,19,25,2013-01-02 19:00:00,282,282,"Un-Christmas Eve"
"160",2013,1,2,1919,1920,-1,2315,2319,-4,"DL",541,"N3750D","JFK","PHX",312,2153,19,20,2013-01-02 19:00:00,396,396,"Un-Christmas Eve"
